Dataset,Evaluation_Level,Fold,Checkpoint,Availability_Mask,Condition,Available_Modalities,Missing_Modalities,Missing_Count,Region,Cases,Metric_N,Dice,IoU,HD95_mm,ASSD_mm,Overall_Mean_Dice,Overall_Dice_Retention,Aggregation
ISLES2022,Fold,0,checkpoint_final.pth,100,drop_adc_dwi,FLAIR,ADC+DWI,2,Lesion,50,50,0.42784862121115097,0.31565787997230094,28.850838938621738,,0.42784862121115097,,Fold case mean; NaN excluded
ISLES2022,Fold,0,checkpoint_final.pth,010,drop_flair_dwi,ADC,FLAIR+DWI,2,Lesion,50,48,0.46082065525415855,0.35078821420630674,32.800652391673545,,0.46082065525415855,,Fold case mean; NaN excluded
ISLES2022,Fold,0,checkpoint_final.pth,001,drop_flair_adc,DWI,FLAIR+ADC,2,Lesion,50,48,0.783784522381029,0.6748485747947943,8.293120641857678,,0.783784522381029,,Fold case mean; NaN excluded
ISLES2022,Fold,0,checkpoint_final.pth,110,drop_dwi,FLAIR+ADC,DWI,1,Lesion,50,48,0.6298302053186418,0.5058590687517934,16.895554583422765,,0.6298302053186418,,Fold case mean; NaN excluded
ISLES2022,Fold,0,checkpoint_final.pth,101,drop_adc,FLAIR+DWI,ADC,1,Lesion,50,48,0.7913349709765295,0.682593591230069,7.632890782081524,,0.7913349709765295,,Fold case mean; NaN excluded
ISLES2022,Fold,0,checkpoint_final.pth,011,drop_flair,ADC+DWI,FLAIR,1,Lesion,50,48,0.7913776629775867,0.6833225141484528,7.964316781056929,,0.7913776629775867,,Fold case mean; NaN excluded
ISLES2022,Fold,0,checkpoint_final.pth,111,none,FLAIR+ADC+DWI,none,0,Lesion,50,48,0.8013602525074418,0.693902086224703,6.87221132131923,,0.8013602525074418,,Fold case mean; NaN excluded
ISLES2022,Fold,1,checkpoint_final.pth,100,drop_adc_dwi,FLAIR,ADC+DWI,2,Lesion,50,50,0.3844252421136784,0.29607191628940355,31.28408771527006,,0.3844252421136784,,Fold case mean; NaN excluded
ISLES2022,Fold,1,checkpoint_final.pth,010,drop_flair_dwi,ADC,FLAIR+DWI,2,Lesion,50,50,0.43670394903340237,0.3287411674639978,33.36125875455749,,0.43670394903340237,,Fold case mean; NaN excluded
ISLES2022,Fold,1,checkpoint_final.pth,001,drop_flair_adc,DWI,FLAIR+ADC,2,Lesion,50,50,0.7386817947165001,0.6332326256720441,9.871980362910849,,0.7386817947165001,,Fold case mean; NaN excluded
ISLES2022,Fold,1,checkpoint_final.pth,110,drop_dwi,FLAIR+ADC,DWI,1,Lesion,50,50,0.6054290285793528,0.4812218522771696,21.209338643203836,,0.6054290285793528,,Fold case mean; NaN excluded
ISLES2022,Fold,1,checkpoint_final.pth,101,drop_adc,FLAIR+DWI,ADC,1,Lesion,50,50,0.7424294536756108,0.6352901204045726,8.644947725828285,,0.7424294536756108,,Fold case mean; NaN excluded
ISLES2022,Fold,1,checkpoint_final.pth,011,drop_flair,ADC+DWI,FLAIR,1,Lesion,50,50,0.758760699269326,0.6509705234011252,7.3684554674897935,,0.758760699269326,,Fold case mean; NaN excluded
ISLES2022,Fold,1,checkpoint_final.pth,111,none,FLAIR+ADC+DWI,none,0,Lesion,50,50,0.7553273870132368,0.6480728306452882,7.979207040130625,,0.7553273870132368,,Fold case mean; NaN excluded
ISLES2022,Fold,2,checkpoint_final.pth,100,drop_adc_dwi,FLAIR,ADC+DWI,2,Lesion,50,50,0.5390971671603727,0.4156422183629044,21.343049227600176,,0.5390971671603727,,Fold case mean; NaN excluded
ISLES2022,Fold,2,checkpoint_final.pth,010,drop_flair_dwi,ADC,FLAIR+DWI,2,Lesion,50,50,0.47984901471107194,0.36523507661732124,29.64411621995065,,0.47984901471107194,,Fold case mean; NaN excluded
ISLES2022,Fold,2,checkpoint_final.pth,001,drop_flair_adc,DWI,FLAIR+ADC,2,Lesion,50,50,0.7608965018572624,0.6589866158865989,9.330673515237734,,0.7608965018572624,,Fold case mean; NaN excluded
ISLES2022,Fold,2,checkpoint_final.pth,110,drop_dwi,FLAIR+ADC,DWI,1,Lesion,50,50,0.6625554200450403,0.5408253401577805,13.917135202479953,,0.6625554200450403,,Fold case mean; NaN excluded
