Fold,Availability_Mask,Condition,Available_Modalities,Missing_Modalities,Missing_Count,Case,Dice,IoU,HD95_mm,ASSD_mm,TP,FP,FN,N_Pred,N_Ref,Pred_Empty,Ref_Empty,Spacing_ZYX
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE1T5_150,0.7873259721555449,0.6492478226444972,3,0.7697467251669424,820,241,202,1061,1022,false,false,"(3.0, 1.2108999490737915, 1.3000465631484985)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE1T5_151,0.8965243033696697,0.8124549603651213,1.2999284267425537,0.392270499584824,13529,1945,1178,15474,14707,false,false,"(3.0, 1.210900068283081, 1.2999284267425537)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE1T5_152,0.838693715982187,0.722198551342139,1.3000555038452148,0.3841957829512198,1695,554,98,2249,1793,false,false,"(3.0, 1.2108999490737915, 1.3000555038452148)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE1T5_153,0.4919614147909968,0.326226012793177,22.67647407624634,5.0117227773837705,153,97,219,250,372,false,false,"(3.0, 1.2108999490737915, 1.2999553680419922)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE1T5_154,0.8714448236632537,0.7721774193548387,1.300066351890564,0.34993148785212536,2681,704,87,3385,2768,false,false,"(2.999999761581421, 1.2108999490737915, 1.300066351890564)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE1T5_155,0.8206948478003657,0.695913900036483,1.300118327140808,0.43941351190498096,3815,1301,366,5116,4181,false,false,"(3.0, 1.210900068283081, 1.300118327140808)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE1T5_156,0.7340241796200345,0.5798090040927695,3.235162853190997,0.8192954963884692,425,237,71,662,496,false,false,"(3.0, 1.2108999490737915, 1.3000555038452148)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE1T5_157,0.7763496143958869,0.634453781512605,4.293691208860551,1.282461812816126,151,47,40,198,191,false,false,"(3.0, 1.210900068283081, 1.3000556230545044)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE1T5_158,0.7742102537545313,0.6316011829319814,3,0.5392211302451527,1495,561,311,2056,1806,false,false,"(3.0, 1.210900068283081, 1.2999554872512817)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE1T5_159,0.8375042618479372,0.7204364148287189,1.2999554872512817,0.4113233916192032,6141,1815,568,7956,6709,false,false,"(3.0, 1.210900068283081, 1.2999554872512817)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_111,0.7028701701058047,0.5418657052726453,13.868884500851427,1.9029853030719994,6012,1379,3704,7391,9716,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_117,0.8785947017991217,0.7834765032844871,1.5471740500248867,0.4364734235519982,12404,2113,1315,14517,13719,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_118,0.7079796264855688,0.5479632063074902,8.293517439138977,1.3368479025454958,417,74,270,491,687,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_119,0.932647124636384,0.8737945492662473,1.2000000476837158,0.2315900771727754,10420,756,749,11176,11169,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_120,0.8106838861168183,0.6816386969397829,3,0.5068235669063526,1381,235,410,1616,1791,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_121,0.8498554667573542,0.7389118864577173,1.953199863433838,0.6993929878714299,2499,634,249,3133,2748,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_122,0.7877681424007302,0.6498493975903614,2.929799795150757,0.4995200865091528,863,367,98,1230,961,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_123,0.44642857142857145,0.28735632183908044,12.55167504344048,2.9951056957425912,175,54,380,229,555,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_124,0.8020100502512563,0.6694630872483222,1.953199863433838,0.4268147083944444,798,254,140,1052,938,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_125,0.6706827309236948,0.5045317220543807,3.44698583221425,1.1653389396534106,167,98,66,265,233,false,false,"(3.0, 0.976599931716919, 1.2000178098678589)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_127,0.7904890085240018,0.6535608308605341,2.2923764570765606,0.4760397090660563,881,366,101,1247,982,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_128,0.8455106395248255,0.7323676323676324,1.953199863433838,0.5508632278526425,14662,4277,1081,18939,15743,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_129,0.8953419461894038,0.8105150214592275,1.2000000476837158,0.2440728925391243,7554,838,928,8392,8482,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_130,0.766579634464752,0.6215071972904318,3,0.6296525758471659,734,272,175,1006,909,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_131,0.7668939863608184,0.6219205630970337,2.2923241649482518,0.44352437300449427,1237,530,222,1767,1459,false,false,"(3.0, 0.976599931716919, 1.1999001502990723)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_133,0.8240544984731031,0.7007590890930883,1.1999001502990723,0.38068564443500974,1754,673,76,2427,1830,false,false,"(3.0, 0.976599931716919, 1.1999001502990723)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_134,0.8193077167354715,0.6939214631522324,2.929799795150757,0.6424795804511111,3870,1096,611,4966,4481,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_135,0.880466472303207,0.7864583333333334,2.2923764570765606,0.45336936551583645,14194,3421,433,17615,14627,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_136,0.7168262653898769,0.55863539445629,2.9719199180603044,0.6388977958541276,262,148,59,410,321,false,false,"(3.0, 0.976599931716919, 1.199997901916504)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_138,0.6929740134744947,0.5301914580265096,6.232531580906441,1.078233738971992,360,144,175,504,535,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_139,0.7425275301520713,0.5904920767306089,2.4000000953674316,0.551894250018704,708,262,229,970,937,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_140,0.8691174709615614,0.7685302837780601,1.2000000476837158,0.3045465147486438,3629,932,161,4561,3790,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_141,0.602308499475341,0.43093093093093093,7.454449325462087,1.486354523027625,287,109,270,396,557,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_142,0.8638118638118638,0.7602718566573988,1.5471740500248867,0.3962414026940502,7383,2169,159,9552,7542,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Amsterdam_GE3T_143,0.8818033516239063,0.7885941644562334,1.2000000476837158,0.2985830627168642,2973,661,136,3634,3109,false,false,"(3.0, 0.976599931716919, 1.2000000476837158)"
